Jurisdiction,State,Land Area,Population,Population Density,PD Rank,Cases,Deaths,Score
Bulloch,Georgia,672.81,79608.00,118.32,787,6591,101,7601
Clinton,Michigan,566.41,79595.00,140.53,705,5471,74,6211
Oconee,South Carolina,626.33,79546.00,127.00,753,8740,131,10050
Kosciusko,Indiana,531.38,79456.00,149.53,671,8728,116,9888
Clearfield,Pennsylvania,1144.72,79255.00,69.24,1180,6811,124,8051
Bedford,Virginia,753.02,78997.00,104.91,856,5952,96,6912
Manitowoc,Wisconsin,589.08,78981.00,134.08,737,8473,84,9313
Cape Girardeau,Missouri,578.54,78871.00,136.33,726,9350,133,10680
White,Arkansas,1035.08,78753.00,76.08,1099,7729,116,8889
Yuba,California,631.84,78668.00,124.51,762,5903,42,6323
Floyd,Indiana,147.94,78522.00,530.77,256,7353,179,9143
Hancock,Indiana,306.02,78168.00,255.43,466,7616,139,9006
