Jurisdiction,State,Land Area,Population,Population Density,PD Rank,Cases,Deaths,Score
Cheshire,New Hampshire,706.66,76085.00,107.67,840,2981,30,3281
Coryell,Texas,1052.07,75951.00,72.19,1149,6955,82,7775
Hancock,Ohio,531.36,75783.00,142.62,697,6174,121,7384
Vermilion,Illinois,898.37,75758.00,84.33,1014,8791,137,10161
Van Buren,Michigan,607.47,75677.00,124.58,761,5278,98,6258
Augusta,Virginia,967.00,75558.00,78.14,1071,5323,66,5983
Sullivan,New York,968.13,75432.00,77.92,1075,5186,63,5816
Scioto,Ohio,610.21,75314.00,123.42,765,6127,94,7067
Grays Harbor,Washington,1902.03,75061.00,39.46,1680,3493,55,4043
Forrest,Mississippi,466.31,74897.00,160.62,642,7454,142,8874
Putnam,Florida,727.62,74521.00,102.42,873,5963,133,7293
Chatham,North Carolina,682.19,74470.00,109.16,828,4277,80,5077
Erie,Ohio,251.56,74266.00,295.22,416,7114,151,8624
Riley,Kansas,609.77,74232.00,121.74,773,6271,35,6621
Monroe,Florida,983.28,74228.00,75.49,1109,6221,48,6701
Lauderdale,Mississippi,703.63,74125.00,105.35,851,6977,232,9297
Walton,Florida,1037.63,74071.00,71.38,1158,7241,81,8051
Somerset,Pennsylvania,1074.37,73447.00,68.36,1194,6850,185,8700
Raleigh,West Virginia,605.35,73361.00,121.19,775,5133,67,5803
Lonoke,Arkansas,770.73,73309.00,95.12,927,6995,112,8115
Wood,Wisconsin,793.12,72999.00,92.04,953,7199,90,8099
Jackson,Georgia,339.66,72977.00,214.85,532,9403,139,10793
Walker,Texas,784.17,72971.00,93.06,945,8484,122,9704
Pottawatomie,Oklahoma,787.67,72592.00,92.16,952,8044,83,8874
Kauai,Hawaii,619.96,72293.00,116.61,791,188,1,198
Tooele,Utah,6941.35,72259.00,10.41,2553,6797,39,7187
Apache,Arizona,11197.52,71887.00,6.42,2715,10758,405,14808
Robertson,Tennessee,476.29,71813.00,150.78,668,9204,124,10444
Surry,North Carolina,532.17,71783.00,134.89,731,7556,140,8956
Columbia,Florida,797.57,71686.00,89.88,970,7767,162,9387
Creek,Oklahoma,950.14,71522.00,75.28,1112,6685,121,7895
DeKalb,Alabama,777.09,71513.00,92.03,954,8670,179,10460
McKinley,New Mexico,5449.81,71367.00,13.10,2466,12107,454,16647
Fauquier,Virginia,647.45,71222.00,110.00,826,4166,61,4776
Lea,New Mexico,4390.93,71070.00,16.19,2364,8894,157,10464
Madison,New York,654.84,70941.00,108.33,837,3982,85,4832
Greenwood,South Carolina,454.73,70811.00,155.72,661,7450,163,9080
Portage,Wisconsin,800.68,70772.00,88.39,988,7062,69,7752
Morgan,Indiana,403.97,70489.00,174.49,600,6238,138,7618
Broomfield,Colorado,33.03,70465.00,2133.36,60,4052,74,4792
Christian,Kentucky,717.50,70461.00,98.20,901,6440,92,7360
Allegany,Maryland,424.16,70416.00,166.01,619,6459,202,8479
Franklin,Massachusetts,699.32,70180.00,100.35,885,2104,104,3144
Wise,Texas,904.42,69984.00,77.38,1081,7091,115,8241
Troup,Georgia,413.99,69922.00,168.90,613,7188,205,9238
Isabella,Michigan,572.68,69872.00,122.01,771,4197,76,4957
Iberia,Louisiana,574.11,69830.00,121.63,774,6583,149,8073
Walker,Georgia,446.38,69761.00,156.28,659,6929,82,7749
Franklin,North Carolina,491.68,69685.00,141.73,699,5796,46,6256
Carteret,North Carolina,506.25,69473.00,137.23,721,4610,45,5060
Grand Forks,North Dakota,1436.38,69451.00,48.35,1486,9923,76,10683
Lewis and Clark,Montana,3458.83,69432.00,20.07,2237,6501,68,7181
Greene,Tennessee,622.17,69069.00,111.01,818,7402,149,8892
Wilkes,North Carolina,754.28,68412.00,90.70,963,6214,104,7254
York,Virginia,104.78,68280.00,651.65,210,3323,50,3823
Klamath,Oregon,5941.05,68238.00,11.49,2522,2907,56,3467
Shiawassee,Michigan,530.67,68122.00,128.37,750,4086,84,4926
Jones,Mississippi,694.80,68098.00,98.01,903,8191,154,9731
Muskogee,Oklahoma,810.45,67997.00,83.90,1018,9181,113,10311
Boone,Indiana,422.91,67843.00,160.42,644,6305,100,7305
Blue Earth,Minnesota,747.84,67653.00,90.46,966,6318,38,6698
Ward,North Dakota,2013.28,67641.00,33.60,1831,9315,191,11225
Catoosa,Georgia,162.16,67580.00,416.75,310,5868,66,6528
Laurens,South Carolina,713.80,67493.00,94.55,933,6528,161,8138
Otero,New Mexico,6613.21,67490.00,10.21,2559,4648,71,5358
Harrison,West Virginia,416.01,67256.00,161.67,637,5018,76,5778
St. Francois,Missouri,451.89,67215.00,148.74,675,8744,110,9844
Aroostook,Maine,6671.33,67055.00,10.05,2563,1348,44,1788
Rutherford,North Carolina,564.15,67029.00,118.81,782,6875,201,8885
Belmont,Ohio,532.13,67006.00,125.92,756,5177,156,6737
Rice,Minnesota,495.68,66972.00,135.11,730,6957,96,7917
Butler,Kansas,1429.86,66911.00,46.80,1522,7309,80,8109
Jefferson,Arkansas,870.75,66824.00,76.74,1089,8706,161,10316
Oldham,Kentucky,187.22,66799.00,356.79,364,7209,78,7989
Mason,Washington,959.42,66768.00,69.59,1177,2396,26,2656
San Patricio,Texas,693.45,66730.00,96.23,914,4152,144,5592
Spalding,Georgia,196.47,66703.00,339.51,378,5846,174,7586
Marquette,Michigan,1808.40,66699.00,36.88,1752,4933,57,5503
Darlington,South Carolina,561.15,66618.00,118.72,784,8075,170,9775
Williamson,Illinois,420.15,66597.00,158.51,652,6987,136,8347
Harrison,Texas,899.95,66553.00,73.95,1125,4628,102,5648
Kershaw,South Carolina,726.56,66551.00,91.60,955,6941,130,8241
Wayne,Indiana,401.74,65884.00,164.00,624,7112,200,9112
Grant,Indiana,414.07,65769.00,158.84,650,6970,170,8670
Adams,Illinois,855.20,65435.00,76.51,1092,8059,144,9499
McCracken,Kentucky,301.25,65418.00,217.16,529,6062,110,7162
Athens,Ohio,503.60,65327.00,129.72,747,4750,52,5270
Jefferson,Ohio,408.33,65325.00,159.98,645,4926,141,6336
Nacogdoches,Texas,946.54,65204.00,68.89,1189,4285,162,5905
Marion,Ohio,403.76,65093.00,161.22,638,8131,132,9451
Tehama,California,2949.71,65084.00,22.06,2168,4685,33,5015
Crow Wing,Minnesota,999.10,65055.00,65.11,1231,5356,85,6206
Pulaski,Kentucky,658.41,64979.00,98.69,899,6004,93,6934
Columbia,Pennsylvania,483.11,64964.00,134.47,734,4825,125,6075
Hamblen,Tennessee,161.18,64934.00,402.87,319,8245,169,9935
Armstrong,Pennsylvania,653.20,64735.00,99.10,895,5051,118,6231
Ionia,Michigan,571.30,64697.00,113.25,804,7329,79,8119
Chippewa,Wisconsin,1008.37,64658.00,64.12,1248,7335,95,8285
Starr,Texas,1223.18,64633.00,52.84,1408,9167,283,11997
Chaves,New Mexico,6065.28,64615.00,10.65,2545,8934,163,10564
Coos,Oregon,1596.17,64487.00,40.40,1663,1790,24,2030
Sauk,Wisconsin,830.90,64442.00,77.56,1079,5665,50,6165
Lake,California,1256.46,64386.00,51.24,1431,3262,43,3692
Effingham,Georgia,477.70,64296.00,134.59,733,4339,62,4959
Clay,Minnesota,1045.37,64222.00,61.43,1286,7120,89,8010
Carbon,Pennsylvania,381.46,64182.00,168.25,615,5131,156,6691
Pope,Arkansas,812.55,64072.00,78.85,1061,7829,103,8859
Warren,New York,866.95,63944.00,73.76,1126,3032,55,3582
Montcalm,Michigan,705.40,63888.00,90.57,964,5794,96,6754
Sampson,North Carolina,944.74,63531.00,67.25,1205,7248,96,8208
Walker,Alabama,791.19,63521.00,80.29,1049,7010,269,9700
Lamar,Mississippi,497.06,63343.00,127.44,752,6013,84,6853
Crawford,Arkansas,593.09,63257.00,106.66,843,6928,115,8078
Pender,North Carolina,869.80,63060.00,72.50,1146,4932,67,5602
Warrick,Indiana,384.82,62998.00,163.71,626,7533,158,9113
Livingston,New York,631.76,62914.00,99.59,893,3712,57,4282
San Benito,California,1388.71,62808.00,45.23,1560,5845,61,6455
Stanly,North Carolina,395.09,62806.00,158.97,649,7133,112,8253
Georgetown,South Carolina,813.55,62680.00,77.05,1085,6404,136,7764
Salem,New Jersey,331.90,62385.00,187.96,577,4974,167,6644
Knox,Ohio,525.49,62322.00,118.60,785,4123,107,5193
Haywood,North Carolina,553.69,62317.00,112.55,810,3959,90,4859
Acadia,Louisiana,655.12,62045.00,94.71,930,6219,187,8089
Reno,Kansas,1255.35,61998.00,49.39,1466,8333,137,9703
Lee,North Carolina,254.96,61779.00,242.31,484,5592,73,6322
Hood,Texas,420.64,61643.00,146.55,679,6347,122,7567
Tipton,Tennessee,458.37,61599.00,134.39,736,7062,104,8102
Barry,Michigan,553.09,61550.00,111.28,816,3969,49,4459
Liberty,Georgia,489.80,61435.00,125.43,758,3520,58,4100
Hall,Nebraska,546.29,61353.00,112.31,812,7498,112,8618
Herkimer,New York,1411.47,61319.00,43.44,1595,4695,107,5765
Belknap,New Hampshire,400.23,61303.00,153.17,662,3249,94,4189
Washington,New York,831.18,61204.00,73.64,1130,2515,54,3055
Lincoln,South Dakota,577.28,61128.00,105.89,846,8040,77,8810
Garfield,Oklahoma,1058.47,61056.00,57.68,1331,7656,82,8476
St. Joseph,Michigan,500.59,60964.00,121.78,772,4990,87,5860
Laurel,Kentucky,433.95,60813.00,140.14,709,6123,47,6593
Walla Walla,Washington,1270.13,60760.00,47.84,1498,4824,64,5464
Cumberland,Tennessee,681.03,60520.00,88.87,980,6243,123,7473
Granville,North Carolina,531.57,60443.00,113.71,803,5481,76,6241
Pittsylvania,Virginia,968.94,60354.00,62.29,1274,5220,75,5970
Bradford,Pennsylvania,1147.40,60323.00,52.57,1414,4593,82,5413
Garfield,Colorado,2947.56,60061.00,20.38,2229,5272,38,5652
Washington,Ohio,631.97,59911.00,94.80,929,4904,104,5944
Vermilion,Louisiana,1173.20,59511.00,50.73,1439,5025,110,6125
Otsego,New York,1001.70,59493.00,59.39,1309,2718,44,3158
Lawrence,Ohio,453.37,59463.00,131.16,745,5346,98,6326
Columbia,New York,634.71,59461.00,93.68,938,3572,97,4542
Lincoln,Missouri,626.56,59013.00,94.19,934,5451,39,5841
Union,Ohio,431.73,58988.00,136.63,724,5302,45,5752
Mercer,West Virginia,418.99,58758.00,140.24,708,4320,120,5520
Otter Tail,Minnesota,1972.07,58746.00,29.79,1929,5005,71,5715
Duplin,North Carolina,816.22,58741.00,71.97,1150,5886,128,7166
Maverick,Texas,914.94,58722.00,64.18,1244,10295,327,13565
Kenai Peninsula Borough,Alaska,16075.33,58708.00,3.65,2857,4050,19,4240
Lowndes,Mississippi,505.51,58595.00,115.91,798,6210,143,7640
Sandusky,Ohio,408.45,58518.00,143.27,694,4886,116,6046
Eddy,New Mexico,4175.73,58460.00,14.00,2431,6608,120,7808
Pickaway,Ohio,501.32,58457.00,116.61,793,8215,116,9375
Washington,Vermont,687.23,58409.00,84.99,1011,1544,14,1684
Huron,Ohio,491.50,58266.00,118.55,786,4993,110,6093
Newton,Missouri,624.77,58236.00,93.21,943,5201,69,5891
Rutland,Vermont,929.82,58191.00,62.58,1272,1471,13,1601
Oxford,Maine,2076.84,57975.00,27.92,1989,2387,54,2927
Gordon,Georgia,355.81,57963.00,162.90,630,7860,106,8920
Russell,Alabama,641.14,57961.00,90.40,967,4184,36,4544
Pike,Kentucky,786.83,57876.00,73.56,1132,5295,77,6065
Blount,Alabama,644.78,57826.00,89.68,971,6382,130,7682
Anderson,Texas,1062.60,57735.00,54.33,1380,6070,112,7190
Hardin,Texas,890.57,57602.00,64.68,1237,5234,102,6254
Columbia,Wisconsin,765.53,57532.00,75.15,1115,5511,67,6181
Lyon,Nevada,2001.19,57510.00,28.74,1967,2836,58,3416
Cherokee,South Carolina,392.66,57300.00,145.93,682,5634,144,7074
Genesee,New York,492.94,57280.00,116.20,797,4654,120,5854
Jefferson,West Virginia,209.64,57146.00,272.59,448,3814,45,4264
Scott,Kentucky,281.77,57004.00,202.31,547,4405,30,4705
Hawkins,Tennessee,486.98,56786.00,116.61,792,5417,102,6437
Jackson,Illinois,584.08,56750.00,97.16,906,4665,73,5395
Van Zandt,Texas,842.56,56590.00,67.16,1207,4062,112,5182
Chisago,Minnesota,414.86,56579.00,136.38,725,5120,48,5600
Coffee,Tennessee,428.96,56520.00,131.76,742,6593,117,7763
Putnam,West Virginia,345.67,56450.00,163.31,628,4396,86,5256
Carter,Tennessee,341.20,56391.00,165.27,622,6083,155,7633
La Plata,Colorado,376.91,56221.00,149.16,673,3220,37,3590
Watauga,North Carolina,312.56,56177.00,179.73,589,4154,30,4454
Marion,West Virginia,533.46,56072.00,105.11,853,3831,46,4291
Box Elder,Utah,5745.55,56046.00,9.75,2575,4983,47,5453
Franklin,Virginia,690.43,56042.00,81.17,1041,3793,71,4503
Lenoir,North Carolina,400.59,55949.00,139.67,711,5592,109,6682
Taney,Missouri,632.44,55928.00,88.43,986,5166,91,6076
Carson City,Nevada,144.66,55916.00,386.53,342,6010,118,7190
Autauga,Alabama,594.44,55869.00,93.99,937,6510,98,7490
Grady,Oklahoma,1100.50,55834.00,50.74,1438,5739,81,6549
Pike,Pennsylvania,544.96,55809.00,102.41,874,2889,49,3379
Pearl River,Mississippi,810.86,55535.00,68.49,1193,4328,133,5658
Columbus,North Carolina,937.29,55508.00,59.22,1310,6062,147,7532
Waller,Texas,513.43,55246.00,107.60,841,3731,45,4181
Colbert,Alabama,592.62,55241.00,93.21,942,6119,125,7369
Hoke,North Carolina,390.74,55234.00,141.36,702,4277,55,4827
Seneca,Ohio,551.02,55178.00,100.14,888,4863,113,5993
Whiteside,Illinois,684.25,55175.00,80.64,1045,6169,196,8129
Eagle,Colorado,1684.53,55127.00,32.73,1847,5497,22,5717
Windsor,Vermont,969.34,55062.00,56.80,1341,1131,11,1241
Hancock,Maine,1586.89,54987.00,34.65,1810,989,35,1339
Campbell,Virginia,503.87,54885.00,108.93,829,4162,81,4972
Iron,Utah,3296.68,54839.00,16.63,2351,5127,33,5457
Camden,Georgia,613.03,54666.00,89.17,977,3791,31,4101
Jefferson,Tennessee,274.08,54495.00,198.83,553,5850,121,7060
Tuolumne,California,2220.88,54478.00,24.53,2078,4008,59,4598
Rusk,Texas,924.03,54406.00,58.88,1316,3834,103,4864
Saline,Kansas,720.23,54224.00,75.29,1110,6044,107,7114
Jessamine,Kentucky,172.12,54115.00,314.40,401,4326,59,4916
Loudon,Tennessee,229.22,54068.00,235.88,497,5830,68,6510
Johnson,Missouri,829.28,54062.00,65.19,1229,4901,48,5381
Lafayette,Mississippi,631.71,54019.00,85.51,1006,5869,114,7009
Gila,Arizona,4757.93,54018.00,11.35,2524,6488,218,8668
Dickson,Tennessee,489.90,53948.00,110.12,823,6407,107,7477
McMinn,Tennessee,375.46,53794.00,143.27,693,6093,94,7033
Washington,Virginia,560.98,53740.00,95.80,921,4403,100,5403
Boone,Illinois,280.72,53544.00,190.74,569,6027,83,6857
Ashland,Ohio,422.95,53484.00,126.45,755,3940,85,4790
St. Martin,Louisiana,737.65,53431.00,72.43,1147,4946,116,6106
Fulton,New York,495.47,53383.00,107.74,839,3614,85,4464
Roane,Tennessee,360.71,53382.00,147.99,677,6031,97,7001
St. Charles,Louisiana,279.08,53100.00,190.27,570,5237,90,6137
Harrisonburg city,Virginia,17.42,53016.00,3043.40,29,6037,94,6977
Elko,Nevada,17169.83,52778.00,3.07,2904,4629,53,5159
Cherokee,Texas,1052.91,52646.00,50.00,1452,4083,132,5403
Pulaski,Missouri,547.10,52607.00,96.16,916,3436,49,3926
Culpeper,Virginia,379.23,52605.00,138.72,713,4206,56,4766
Kerr,Texas,1103.32,52600.00,47.67,1502,4288,83,5118
Columbia,Oregon,657.36,52354.00,79.64,1053,1302,24,1542
Coffee,Alabama,678.97,52342.00,77.09,1084,5342,107,6412
Worcester,Maryland,468.28,52276.00,111.63,815,3314,92,4234
Tuscola,Michigan,803.13,52245.00,65.05,1232,3555,140,4955
Cass,Michigan,490.06,51787.00,105.67,847,4342,67,5012
Jackson,Alabama,1077.87,51626.00,47.90,1497,6702,105,7752
Medina,Texas,1325.36,51584.00,38.92,1692,4764,102,5784
Washington,Oklahoma,415.45,51527.00,124.03,763,4943,92,5863
Edgecombe,North Carolina,505.34,51472.00,101.86,876,4871,100,5871
Warren,Iowa,569.83,51466.00,90.32,968,5278,80,6078
Grant,Wisconsin,1146.85,51439.00,44.85,1569,5408,88,6288
Wayne,Pennsylvania,725.60,51361.00,70.78,1165,3253,69,3943
Polk,Texas,1057.09,51353.00,48.58,1481,3012,103,4042
Atascosa,Texas,1219.54,51153.00,41.94,1626,5511,143,6941
Darke,Ohio,598.10,51113.00,85.46,1007,5103,120,6303
Wilson,Texas,803.73,51070.00,63.54,1258,4252,65,4902
Grundy,Illinois,418.04,51054.00,122.13,769,5344,72,6064
Franklin,Kentucky,207.75,50991.00,245.44,479,3826,40,4226
Waupaca,Wisconsin,747.71,50990.00,68.19,1198,5796,160,7396
Joplin,Missouri,35.69,50925.00,1426.87,104,5928,103,6958
Venango,Pennsylvania,674.28,50668.00,75.14,1116,3491,89,4381
Ogle,Illinois,758.57,50643.00,66.76,1215,5248,86,6108
Coles,Illinois,508.29,50621.00,99.59,892,5356,95,6306
Henry,Virginia,382.33,50557.00,132.23,741,4305,120,5505
Somerset,Maine,3924.40,50484.00,12.86,2469,1315,27,1585
Winona,Minnesota,626.21,50484.00,80.62,1047,4264,49,4754
Queen Anne's,Maryland,371.91,50381.00,135.47,728,2659,40,3059
Navarro,Texas,1009.63,50113.00,49.64,1461,5623,142,7043
Whitman,Washington,2159.09,50104.00,23.21,2123,3708,46,4168
Calumet,Wisconsin,318.24,50089.00,157.39,657,6137,50,6637
Franklin,New York,1629.12,50022.00,30.70,1904,2242,12,2362
Halifax,North Carolina,724.09,50010.00,69.07,1184,5101,103,6131
Lincoln,Oregon,979.77,49962.00,50.99,1435,1178,20,1378
Lamar,Texas,1016.18,49859.00,49.07,1472,5735,151,7245
Le Flore,Oklahoma,1589.21,49853.00,31.37,1884,5462,46,5922
Bedford,Tennessee,473.64,49713.00,104.96,855,6030,123,7260
Knox,Illinois,716.40,49699.00,69.37,1178,5063,164,6703
Buffalo,Nebraska,968.11,49659.00,51.29,1429,5223,56,5783
Oktibbeha,Mississippi,458.20,49587.00,108.22,838,4493,97,5463
Dearborn,Indiana,305.03,49458.00,162.14,634,5563,75,6313
Franklin,Vermont,633.71,49402.00,77.96,1074,1555,37,1925
St. Mary,Louisiana,555.38,49348.00,88.85,981,4344,127,5614
Montgomery,New York,403.04,49221.00,122.12,770,3400,108,4480
Dale,Alabama,561.15,49172.00,87.63,992,4725,109,5815
Gibson,Tennessee,602.74,49133.00,81.52,1036,6249,141,7659
Val Verde,Texas,3144.75,49025.00,15.59,2378,7763,211,9873
Shelby,Kentucky,379.64,49024.00,129.13,749,4445,60,5045
Newaygo,Michigan,813.20,48980.00,60.23,1297,3144,54,3684
Curry,New Mexico,1404.80,48954.00,34.85,1802,4993,70,5693
Henry,Illinois,822.99,48913.00,59.43,1307,4419,87,5289
Carroll,New Hampshire,931.06,48910.00,52.53,1417,1863,7,1933
Douglas,Nevada,709.72,48905.00,68.91,1188,2619,33,2949
Cherokee,Oklahoma,749.41,48657.00,64.93,1234,5500,44,5940
Shelby,Ohio,407.68,48590.00,119.19,781,4456,87,5326
Bristol,Rhode Island,24.16,48479.00,2006.58,66,4404,139,5794
Tioga,New York,518.60,48203.00,92.95,946,3007,56,3567
Burnet,Texas,994.26,48155.00,48.43,1484,4427,61,5037
Carter,Oklahoma,822.18,48111.00,58.52,1321,5825,65,6475
Logan,Oklahoma,743.83,48011.00,64.55,1241,4076,34,4416
Bryan,Oklahoma,904.47,47995.00,53.06,1407,6006,57,6576
Henry,Indiana,391.88,47972.00,122.42,768,5486,97,6456
Crittenden,Arkansas,609.76,47955.00,78.65,1064,5834,95,6784
Kittitas,Washington,2297.27,47935.00,20.87,2213,2431,30,2731
Bedford,Pennsylvania,1012.30,47888.00,47.31,1513,3910,130,5210
Fremont,Colorado,1533.07,47839.00,31.20,1894,5589,52,6109
Noble,Indiana,410.84,47744.00,116.21,795,5194,82,6014
Hancock,Mississippi,473.75,47632.00,100.54,884,3614,83,4444
Cortland,New York,498.76,47581.00,95.40,924,3329,60,3929
Laurens,Georgia,807.30,47546.00,58.90,1315,5447,163,7077
Kendall,Texas,662.45,47431.00,71.60,1155,3085,69,3775
Vernon,Louisiana,1327.91,47429.00,35.72,1784,2931,99,3921
Charlottesville city,Virginia,10.24,47266.00,4615.82,18,3755,53,4285
St. Bernard,Louisiana,377.52,47244.00,125.14,760,3886,48,4366
Chenango,New York,893.55,47207.00,52.83,1409,2639,71,3349
Beltrami,Minnesota,2504.94,47188.00,18.84,2282,3461,54,4001
Greene,New York,647.16,47188.00,72.92,1141,2835,72,3555
Beaufort,North Carolina,827.19,46994.00,56.81,1340,4403,87,5273
Osage,Oklahoma,2246.36,46963.00,20.91,2208,4538,56,5098
Bingham,Idaho,2093.98,46811.00,22.36,2163,4551,67,5221
Lincoln,Louisiana,471.74,46742.00,99.08,896,4278,91,5188
Boyd,Kentucky,159.86,46718.00,292.24,421,4730,64,5370
Monroe,Tennessee,635.57,46545.00,73.23,1138,5499,93,6429
Nye,Nevada,18181.92,46523.00,2.56,2943,2853,96,3813
Santa Cruz,Arizona,1236.92,46498.00,37.59,1730,7739,173,9469
Clinton,Iowa,694.92,46429.00,66.81,1213,5098,87,5968
Jackson,Florida,917.76,46414.00,50.57,1443,6018,154,7558
Campbell,Wyoming,4802.71,46341.00,9.65,2580,4712,59,5302
Goodhue,Minnesota,756.84,46340.00,61.23,1288,4037,69,4727
Camden,Missouri,655.92,46305.00,70.60,1167,3993,83,4823
Perry,Pennsylvania,551.45,46272.00,83.91,1017,3084,88,3964
Marshall,Indiana,443.63,46258.00,104.27,861,5549,107,6619
Monroe,Wisconsin,900.78,46253.00,51.35,1427,4458,35,4808
Nelson,Kentucky,417.51,46233.00,110.74,819,4716,50,5216
Washington,Louisiana,669.53,46194.00,68.99,1187,4180,125,5430
Mifflin,Pennsylvania,411.03,46138.00,112.25,813,4697,174,6437
Allegany,New York,1029.31,46091.00,44.78,1575,2976,82,3796
Calaveras,California,1020.01,45905.00,45.00,1568,1957,49,2447
McDowell,North Carolina,461.22,45756.00,99.21,894,4992,62,5612
Bonner,Idaho,1734.57,45739.00,26.37,2030,3064,38,3444
Stevens,Washington,2477.77,45723.00,18.45,2297,1714,25,1964
Logan,Ohio,458.43,45672.00,99.63,891,3637,76,4397
Gadsden,Florida,516.33,45660.00,88.43,987,5523,92,6443
Auglaize,Ohio,401.39,45656.00,113.74,802,4609,85,5459
Chesterfield,South Carolina,799.08,45650.00,57.13,1339,4479,99,5469
Hillsdale,Michigan,598.13,45605.00,76.25,1095,3515,78,4295
Colquitt,Georgia,544.15,45600.00,83.80,1019,4556,108,5636
Stokes,North Carolina,448.86,45591.00,101.57,878,3741,75,4491
Wood,Texas,645.23,45539.00,70.58,1169,3308,121,4518
Warren,Mississippi,588.50,45381.00,77.11,1083,4206,117,5376
Lawrence,Indiana,449.17,45370.00,101.01,882,4237,119,5427
Dunn,Wisconsin,850.11,45368.00,53.37,1397,4674,30,4974
Habersham,Georgia,276.74,45328.00,163.79,625,5070,148,6550
Greene,Arkansas,577.70,45325.00,78.46,1066,5980,74,6720
Barron,Wisconsin,862.71,45244.00,52.44,1418,5649,76,6409
Henderson,Kentucky,436.67,45210.00,103.53,867,4435,70,5135
Huntingdon,Pennsylvania,874.64,45144.00,51.61,1424,4484,126,5744
Itasca,Minnesota,2667.72,45130.00,16.92,2342,3285,51,3795
Macoupin,Illinois,603.17,44926.00,74.48,1122,4456,109,5546
Union,Pennsylvania,315.98,44923.00,142.17,698,5359,84,6199
Baldwin,Georgia,257.84,44890.00,174.10,603,4370,119,5560
Richmond,North Carolina,473.82,44829.00,94.61,932,4311,92,5231
Callaway,Missouri,834.58,44743.00,53.61,1393,4863,46,5323
Madison,Ohio,465.88,44731.00,96.01,919,4031,56,4591
Shelby,Indiana,411.15,44729.00,108.79,832,5644,103,6674
Hopkins,Kentucky,542.00,44686.00,82.45,1030,4135,134,5475
Phelps,Missouri,671.78,44573.00,66.35,1222,3652,124,4892
Vance,North Carolina,253.52,44535.00,175.67,597,4542,85,5392
Stephenson,Illinois,564.52,44498.00,78.82,1062,4207,97,5177
Thomas,Georgia,544.60,44451.00,81.62,1035,4286,116,5446
Chilton,Alabama,692.85,44428.00,64.12,1247,4005,107,5075
Suwannee,Florida,688.55,44417.00,64.51,1242,5195,135,6545
Barren,Kentucky,487.54,44249.00,90.76,961,4200,82,5020
Jackson,Indiana,509.31,44231.00,86.84,999,4712,68,5392
Lawrence,Tennessee,617.13,44142.00,71.53,1156,5626,86,6486
Delaware,New York,1442.44,44135.00,30.60,1909,1771,34,2111
Holmes,Ohio,422.53,43960.00,104.04,863,2481,100,3481
Jackson,North Carolina,490.76,43938.00,89.53,974,3437,55,3987
Washington,Mississippi,724.74,43909.00,60.59,1292,5257,132,6577
Chambers,Texas,597.14,43837.00,73.41,1136,4515,46,4975
Ravalli,Montana,2390.82,43806.00,18.32,2303,2813,30,3113
Polk,Wisconsin,913.96,43783.00,47.90,1495,4096,48,4576
Caldwell,Texas,545.26,43664.00,80.08,1051,5308,92,6228
Pittsburg,Oklahoma,1305.46,43654.00,33.44,1835,4538,45,4988
Shenandoah,Virginia,508.78,43616.00,85.73,1005,3848,127,5118
Siskiyou,California,6277.89,43539.00,6.94,2694,1850,14,1990
Kay,Oklahoma,919.73,43538.00,47.34,1511,5134,84,5974
Branch,Michigan,506.37,43517.00,85.94,1003,4748,111,5858
DeKalb,Indiana,362.82,43475.00,119.83,778,3935,83,4765
Mecosta,Michigan,555.07,43453.00,78.28,1068,2100,21,2310
Brown,Ohio,490.02,43432.00,88.63,982,3790,54,4330
Douglas,Washington,1819.26,43429.00,23.87,2101,3358,22,3578
Jefferson,Pennsylvania,652.43,43425.00,66.56,1219,2901,90,3801
Coffee,Georgia,575.10,43273.00,75.24,1113,5250,160,6850
Miller,Arkansas,625.58,43257.00,69.15,1182,4159,34,4499
Kandiyohi,Minnesota,796.79,43199.00,54.22,1384,5942,78,6722
Highland,Ohio,553.08,43161.00,78.04,1073,3369,56,3929
Douglas,Wisconsin,1304.14,43150.00,33.09,1845,4316,45,4766
Sullivan,New Hampshire,537.31,43146.00,80.30,1048,1397,22,1617
Stephens,Oklahoma,870.24,43143.00,49.58,1462,4728,72,5448
Delaware,Oklahoma,738.18,43009.00,58.26,1326,4477,64,5117
Davie,North Carolina,264.11,42846.00,162.23,633,3697,35,4047
St. John the Baptist,Louisiana,213.07,42837.00,201.05,548,3582,136,4942
Montrose,Colorado,2240.70,42758.00,19.08,2276,3301,56,3861
Pierce,Wisconsin,573.75,42754.00,74.52,1121,4478,41,4888
Dubois,Indiana,427.27,42736.00,100.02,889,5995,114,7135
Erath,Texas,1083.07,42698.00,39.42,1681,4035,67,4705
Muscatine,Iowa,437.47,42664.00,97.52,904,4351,94,5291
Polk,Georgia,310.33,42613.00,137.32,720,5432,84,6272
Butler,Missouri,694.67,42478.00,61.15,1290,4109,38,4489
Cerro Gordo,Iowa,568.31,42450.00,74.70,1119,5061,85,5911
Fayette,West Virginia,661.55,42406.00,64.10,1249,2857,73,3587
Sweetwater,Wyoming,10426.65,42343.00,4.06,2827,3935,36,4295
Pettis,Missouri,682.22,42339.00,62.06,1277,5055,77,5825
Okanogan,Washington,5267.98,42243.00,8.02,2648,2236,36,2596
Windham,Vermont,785.31,42222.00,53.76,1392,1042,14,1182
Franklin,Tennessee,554.54,42208.00,76.11,1098,4890,87,5760
Okeechobee,Florida,768.91,42168.00,54.84,1371,3659,83,4489
